Millis,Leituras
0,302
10,289
20,292
30,272
41,280
52,271
62,258
73,271
83,256
94,256
104,262
115,243
125,253
136,250
147,235
157,254
167,240
179,223
189,237
199,222
210,231
221,229
231,215
242,229
252,219
263,216
274,227
284,213
294,220
306,223
316,210
326,222
337,232
348,208
358,220
369,208
379,212
390,219
400,204
411,216
421,214
432,201
443,214
453,202
463,203
475,212
485,199
495,210
506,207
517,197
527,210
538,199
548,199
559,209
570,196
580,205
590,206
602,194
612,207
622,198
633,195
644,208
654,194
665,201
675,205
686,192
697,205
707,198
717,192
729,204
739,192
749,196
759,203
771,190
781,202
791,197
802,189
813,202
823,191
834,192
844,201
855,188
866,199
876,197
886,186
898,200
908,190
918,188
929,200
940,187
950,195
961,199
971,185
982,198
993,190
1003,186
1013,198
1025,186
1035,191
1045,197
1056,184
1067,199
1077,190
1088,180
1098,196
1110,183
1120,184
1130,198
1141,179
1152,191
1162,215
1173,179
1183,192
1193,183
1205,180
1215,195
1226,179
1236,185
1247,190
1258,177
1268,190
1278,184
1290,177
1300,191
1310,180
1321,181
1332,191
1343,178
1353,188
1363,188
1375,176
1385,190
1395,181
1406,178
1417,190
1427,178
1438,184
1448,189
1460,176
1470,189
1480,183
1491,177
1502,190
1512,178
1523,180
1533,190
1544,176
1555,188
1565,186
1575,176
1587,189
1597,179
1608,177
1618,189
1629,177
1640,183
1650,195
1660,175
1672,188
1682,182
1692,175
1703,188
1714,177
1725,180
1735,189
1745,175
1757,187
1767,185
1777,174
1788,189
1799,178
1809,177
1820,189
1830,176
1842,183
1852,187
1862,175
1873,187
1884,181
1894,172
1905,189
1915,175
1926,178
1937,187
1947,172
1958,184
1969,186
1979,166
1990,194
2000,173
2011,167
2022,187
2032,170
2042,172
2054,181
2064,161
2075,188
2085,167
2096,157
2107,193
2117,158
2127,158
2139,169
2149,156
2159,169
2170,166
2181,157
2192,171
2202,161
2212,161
2224,172
2234,160
2244,169
2255,171
2266,160
2276,173
2287,165
2297,157
2309,174
2319,161
2329,165
2340,173
2351,159
2361,172
2372,168
2382,158
2393,173
2404,162
2414,157
2425,182
2436,159
2446,167
2457,189
2467,156
2478,171
2489,162
2499,156
2509,173
2521,158
2531,164
2541,174
2552,158
2563,170
2574,165
2584,158
2594,173
2606,159
2616,157
2626,168
2637,155
2648,165
2658,167
2669,155
2679,169
2691,161
2701,158
2711,171
2722,159
2733,165
2743,171
2754,158
2764,171
2775,166
2786,156
2796,175
2807,162
2818,164
2828,175
2839,162
2849,170
2860,174
2871,154
2881,171
2891,165
2903,157
2913,170
2924,158
2934,164
2945,170
2956,158
2966,171
2976,166
2988,159
2998,174
3008,161
3019,163
3030,175
3041,160
3051,171
3061,171
3073,160
3083,174
3093,165
3104,162
3115,175
3125,163
3136,170
3146,174
3158,162
3168,175
3178,169
3189,163
3200,176
3210,165
3221,168
3231,176
3241,163
3253,175
3263,173
3274,162
3284,176
3295,167
3306,165
3316,177
3326,165
3338,172
3348,175
3358,162
3369,175
3380,198
3391,162
3401,174
3411,163
3423,163
3433,173
3443,162
3454,174
3465,169
3475,158
3486,175
3496,162
3507,161
3518,173
3528,159
3539,167
3550,170
3560,158
3571,170
3581,164
3592,160
3603,171
3613,161
3623,160
3635,170
3645,158
3656,168
3666,182
3677,154
3688,167
3698,158
3708,158
3720,171
3730,157
3740,165
3751,167
3762,156
3773,168
3783,162
3793,157
3805,170
3815,160
3825,164
3836,170
3847,159
3857,170
3868,190
3878,159
3890,172
3900,162
3910,161
3921,171
3932,159
3942,168
3953,170
3963,159
3975,171
3985,182
3995,156
4006,171
4017,158
4027,164
4038,202
4048,158
4059,169
4070,165
4080,158
4091,170
4102,161
4112,155
4123,168
4133,156
4144,163
4155,163
4165,153
4175,166
4187,159
4197,156
4207,168
4218,157
4229,162
4240,173
4250,157
4260,169
4272,164
4282,158
4292,170
4303,160
4314,161
4324,171
4335,160
4345,169
4357,170
4367,159
4377,172
4388,164
4399,161
4409,173
4420,162
4430,167
4441,173
4452,161
4462,173
4473,168
4484,162
4494,174
4505,164
4515,166
4526,175
4537,163
4547,173
4557,173
4569,162
4579,176
4590,167
4600,164
4611,176
4622,165
4632,171
4642,176
4654,164
4664,176
4674,170
4685,162
4696,177
4707,166
4717,168
4727,178
4739,165
4749,171
4759,178
4770,160
4781,175
4791,165
4802,156
4812,175
4824,167
4834,160
4844,170
4855,153
4866,168
4876,158
4887,150
4897,164
4908,153
4919,156
4929,167
4940,152
4951,165
4961,163
4972,153
4982,166
4993,157
5004,152
5014,168
5024,156
5036,163
5046,167
5057,155
5067,168
5078,162
5089,157
5099,170
5109,158
5121,162
5131,170
5141,157
5152,170
5163,167
5174,155
5184,171
5194,161
5206,160
5216,172
5226,160
5237,168
5248,176
5258,159
5269,173
5279,165
5291,159
5301,174
5311,162
5322,164
5332,174
5343,159
5354,171
5364,166
5374,157
5386,181
5396,161
5406,160
5417,173
5428,159
5439,159
5449,168
5459,151
5471,167
5481,159
5491,153
5502,167
5513,156
5523,161
5534,168
5544,156
5556,168
5566,165
5576,155
5587,170
5598,159
5608,157
5619,173
5629,156
5641,160
5651,165
5661,153
5672,168
5683,160
5693,154
5704,169
5714,157
5725,162
5736,169
5746,156
5756,168
5768,165
5778,157
5789,171
5799,160
5810,160
5821,171
5831,158
5841,169
5853,171
5863,155
5873,169
5884,159
5895,156
5906,172
5916,156
5926,162
5938,189
5948,155
5958,168
5969,163
5980,151
5990,166
6001,155
6011,157
6023,168
6033,154
6043,165
6054,165
6065,153
6075,167
6086,159
6096,156
6108,169
6118,157
6128,162
6139,169
6150,156
6160,169
6171,164
6181,154
6192,171
6203,160
6213,162
6224,171
6235,159
6245,169
6256,170
6266,158
6277,172
6288,162
6298,160
6308,173
6320,162
6330,167
6341,173
6351,159
6362,172
6373,167
6383,158
6393,174
6405,163
6415,165
6425,175
6436,161
6447,172
6458,185
6468,160
6478,174
6490,163
6500,160
6510,173
6521,161
6532,165
6542,175
6553,160
6563,173
6575,167
6585,158
6595,174
6606,162
6617,161
6627,198
6638,159
6648,171
6659,179
6670,158
6680,172
6691,161
6702,154
6712,170
6723,157
6733,159
6744,166
6755,154
6765,167
6775,158
6787,152
6797,168
6807,154
6818,158
6829,168
6840,154
6850,166
6860,165
6872,151
6882,171
6892,153
6903,147
6914,181
6924,149
6935,154
6945,159
6957,145
6967,158
6977,152
6988,141
6999,159
7009,150
7020,152
7030,161
