Millis,Leituras
0,429
10,686
20,376
30,808
41,771
52,499
62,884
73,461
83,443
94,686
104,372
115,777
125,753
136,495
147,907
157,536
167,481
179,743
189,374
199,694
210,738
221,467
231,906
242,652
252,504
263,832
274,392
284,582
294,723
306,436
316,881
326,774
337,504
348,871
358,425
369,444
379,698
390,393
400,817
411,767
421,511
432,891
443,497
453,464
463,707
475,375
485,736
495,740
506,482
517,909
527,605
538,501
548,803
559,391
570,635
580,736
590,459
602,897
612,729
622,515
633,858
644,416
654,507
665,705
675,414
686,845
697,801
707,520
717,893
729,477
739,457
749,693
759,389
771,769
781,760
791,497
802,903
813,563
823,487
834,767
844,386
855,680
866,737
876,474
886,883
898,707
908,498
918,818
929,470
940,506
950,725
961,487
971,807
982,862
993,515
1003,830
1013,524
1025,422
1035,677
1045,453
1056,705
1067,777
1077,513
1088,835
1098,652
1110,466
1120,747
1130,461
1141,556
1152,728
1162,490
1173,812
1183,831
1193,507
1205,834
1215,519
1226,416
1236,689
1247,449
1258,717
1268,790
1278,512
1290,846
1300,643
1310,466
1321,747
1332,441
1342,562
1353,706
1363,467
1375,817
1385,811
1395,492
1406,830
1417,494
1427,401
1438,686
1448,423
1459,716
1470,783
1480,501
1491,847
1502,628
1512,460
1523,765
1533,433
1544,572
1555,729
1565,468
1575,826
1587,805
1597,495
1608,839
1618,496
1629,411
1640,698
1650,426
1660,726
1672,782
1682,488
1692,848
1703,615
1714,461
1725,758
1735,426
1745,575
1757,734
1767,459
1777,821
1788,796
1799,484
1809,839
1820,487
1830,409
1842,687
1852,430
1862,735
1873,793
1884,503
1894,859
1905,623
1915,464
1926,761
1937,434
1947,589
1958,743
1969,465
1979,832
1990,788
2000,482
2011,837
2022,483
2032,395
2042,694
2054,424
2064,735
2075,784
2085,485
2096,848
2107,605
2117,459
2127,745
2139,431
2149,596
2159,746
2170,467
2181,834
2192,790
2202,492
2212,844
2224,486
2234,413
2244,711
2255,438
2266,752
2276,800
2287,509
2297,864
2309,616
2319,470
2329,753
2340,430
2351,597
2361,730
2372,470
2382,836
2393,778
2404,492
2414,834
2425,480
2436,406
2446,702
2457,425
2467,750
2478,796
2489,510
2499,860
2509,605
2521,462
2531,749
2541,438
2552,615
2563,754
2574,482
2584,843
2594,783
2606,499
2616,843
2626,487
2637,426
2648,701
2659,434
2669,750
2679,795
2691,509
2701,859
2711,605
2722,461
2733,743
2743,428
2754,605
2764,746
2776,476
2786,835
2796,774
2807,493
2818,835
2828,480
2839,423
2849,715
2860,432
2871,759
2881,801
2892,514
2903,866
2913,605
2924,470
2934,751
2945,441
2956,622
2966,760
2976,476
2988,845
2998,763
3008,487
3019,835
3030,478
3041,429
3051,701
3061,426
3073,756
3083,794
3093,509
3104,853
3115,588
3125,457
3136,736
3146,432
3158,622
3168,746
3178,476
3189,844
3200,766
3210,497
3221,835
3231,479
3243,441
3253,715
3263,435
3274,772
3284,811
3295,518
3306,867
3316,593
3326,454
3338,727
3348,430
3359,626
3369,744
3380,477
3391,847
3401,755
3411,488
3423,825
3433,469
3443,445
3454,692
3465,433
3475,775
3486,813
3496,524
3508,866
3518,587
3528,463
3539,738
3550,433
3560,641
3571,762
3581,484
3592,854
3603,754
3613,499
3624,837
3635,476
3645,463
3656,705
3666,432
3677,773
3688,809
3698,515
3708,859
3720,572
3730,449
3741,723
3751,424
3762,641
3773,753
3783,486
3793,848
3805,733
3815,489
3825,824
3836,466
3847,470
3858,719
3868,441
3878,790
3890,821
3900,524
3910,868
3921,573
3932,456
3942,726
3953,436
3963,661
3975,765
3985,481
3995,850
4006,718
4017,489
4027,814
4038,459
4048,480
4059,722
4070,432
4080,788
4091,806
4102,510
4112,856
4123,560
4133,446
4144,712
4155,432
4165,668
4175,761
4187,492
4197,857
4208,719
4218,490
4229,820
4240,463
4250,498
4260,735
4272,456
4282,806
4292,824
4303,523
4314,862
4325,553
4335,443
4345,713
4357,428
4367,673
4377,751
4388,488
4399,853
4409,693
4420,475
4430,801
4442,446
4452,499
4462,714
