Millis,Leituras
0,1017
10,966
20,1023
31,0
41,991
52,1023
62,749
73,1023
83,1023
94,1023
105,1023
115,260
125,942
137,1023
147,669
157,1023
168,1023
179,965
189,1023
200,848
210,1023
221,1009
232,540
242,996
252,1023
264,930
274,1023
285,926
295,981
306,1023
317,176
327,921
337,1023
349,889
359,1023
369,0
379,1023
391,1023
401,221
412,1023
422,1023
433,674
444,1023
454,1023
464,1017
476,1023
486,1023
496,1023
507,1023
518,517
529,977
539,1000
549,861
561,1023
571,821
581,1021
592,1023
603,224
613,1023
624,1023
634,707
645,1023
656,517
666,614
676,1023
688,188
698,780
708,1023
719,595
730,1006
741,985
751,894
761,1023
773,0
783,678
793,801
803,53
815,944
825,1023
835,929
846,1023
857,997
867,827
878,1023
888,309
899,900
910,1023
920,803
930,1000
942,1003
952,968
963,1023
973,180
984,1023
995,1023
1005,568
1015,1023
1027,1023
1037,947
1048,1023
1058,959
1069,1023
1080,1023
1090,454
1101,914
1112,956
1122,485
1133,1023
1143,27
1154,1023
1165,1023
1175,144
1186,1023
1197,1019
1207,548
1218,961
1228,1023
1240,811
1250,1023
1260,1023
1271,1023
1282,1023
1293,239
1303,898
1313,1023
1325,449
1335,981
1345,716
1356,1009
1367,1023
1378,18
1388,931
1398,1023
1410,971
1420,956
1430,1023
1441,811
1452,1023
1463,1023
1473,1016
1483,1023
1495,36
1505,832
1516,559
1526,675
1537,1023
1548,1023
1558,919
1569,1023
1580,18
1590,1023
1601,1023
1611,441
1622,961
1633,1023
1643,867
1654,1023
1665,826
1675,819
1686,1023
1696,165
1708,1015
1718,1023
1728,648
1739,1023
1750,1023
1761,891
1771,1023
1781,0
1793,1023
1803,1008
1813,0
1824,902
1835,1023
1845,1013
1856,1013
1866,997
1878,1015
1888,1023
1899,172
1909,1023
1920,1005
1931,263
1941,1023
1951,1023
1963,883
1973,1023
1984,0
1994,1018
2004,1023
2016,304
2026,1023
2037,1023
2048,661
2058,1023
2069,941
2079,954
2089,1023
2101,108
2111,1023
2122,1023
2132,470
2143,1021
2154,764
2164,499
2176,1023
2186,1023
2196,1023
2207,1023
2217,310
2229,1023
2239,642
2249,688
2260,1023
2271,1023
2282,904
2292,1023
2302,1023
2314,1021
2324,1023
2335,368
2345,1023
2356,1023
2367,749
2377,1023
2388,1023
2399,1023
2409,1023
2420,98
2430,1023
2442,1008
2452,313
2462,1023
2473,1023
2484,873
2495,1023
2505,881
2515,994
2527,1023
2537,224
2548,928
2558,1023
2569,700
2580,1023
2590,1023
2600,968
2612,1023
2622,129
2633,977
2643,1023
2654,365
2665,942
2675,1023
2686,798
2697,1023
2707,1023
2718,1009
2728,1023
2740,172
2750,1023
2760,1005
2771,609
2782,1023
2793,1023
2803,946
2813,1023
2825,344
2835,1023
2846,1023
2856,377
2867,922
2878,1023
2888,802
2898,1023
2910,414
2920,1023
2931,1023
2941,1023
2953,1023
2963,1023
2973,685
2984,998
2995,1023
3005,881
3016,1013
3026,993
3038,785
3048,1023
3058,263
3069,850
3080,1023
3091,706
3101,963
3111,1023
3123,1023
3133,1023
3144,1023
3154,1023
3165,1008
3176,376
3186,1018
3197,1023
3208,810
3218,1023
3229,979
3239,1012
3251,1023
3261,121
3271,1023
3282,1023
3293,536
3304,996
3314,1023
3324,888
3336,1023
3346,923
3356,1023
3367,1023
3378,576
3389,870
3399,403
3409,720
3421,1021
3431,850
3442,1003
3452,1023
3463,33
3474,997
3484,1023
3494,553
3506,971
3516,1023
3527,909
3537,1023
3548,52
3559,1023
3569,1023
3580,0
3591,861
3601,1023
3612,737
3622,988
3633,815
3644,815
3654,1023
3664,54
3676,872
3686,1023
3697,508
3707,1023
3718,1023
3729,939
3739,1023
3750,339
3761,1023
3771,1023
3782,251
3792,1023
3804,1023
3814,984
3824,1023
3835,1023
3846,1008
3857,1023
3867,228
3877,876
3889,1023
3899,446
3909,930
3920,1023
3931,868
3942,1004
3952,935
3962,1023
3974,1023
3984,237
3995,1023
4005,997
4016,604
4027,1023
4037,1023
4048,950
4059,1023
4069,1023
4080,1023
4090,1002
4102,554
4112,1023
4122,1023
4133,997
4144,1008
4155,898
4165,1023
4175,1023
4187,34
4197,1004
4208,1023
4218,523
4229,1018
4240,1023
4250,796
4261,1023
4272,758
4282,1023
4293,1023
4303,440
4314,803
4325,1023
4335,870
4346,1023
4357,1023
4367,1023
4378,1023
4388,3
4400,873
4410,1007
4420,405
4431,1023
4442,1023
4453,838
4463,1005
4473,869
4485,1023
4495,1023
4506,503
4516,1023
4527,1023
4538,686
4548,976
4558,815
4570,914
4580,1023
4591,104
4601,1023
4612,1023
4623,374
4633,1023
4644,1023
4655,763
4665,1023
4676,1023
4686,996
4698,1023
4708,110
4718,944
4729,1023
4740,783
4750,1023
4761,1023
4771,872
4783,1001
4793,45
4803,893
4814,1023
4825,317
4836,833
4846,1023
4856,689
4868,994
4878,1023
4888,1019
4899,1023
4910,40
4921,704
4931,1023
4941,659
4953,1023
4963,1023
4974,819
4984,1023
4995,961
5006,684
5016,1023
5027,160
5038,956
5048,1019
5059,615
5069,1023
5080,1023
5091,809
5101,1023
5112,0
5123,857
5133,1023
5144,413
5154,1023
5165,1023
5176,751
5186,1023
5197,1023
5208,939
5218,1023
5229,367
5239,815
5251,1020
5261,697
5271,1023
5282,1023
5293,958
5304,1023
5314,0
5324,1023
5336,1023
5346,301
5356,972
5367,1023
5378,674
5389,1023
5399,1020
5409,986
5421,1023
5431,173
5442,1023
5452,1023
5463,550
5474,1023
5484,1023
5495,1012
5506,1023
5516,0
5527,1023
5537,1023
5549,261
5559,864
5569,1004
5580,745
5591,996
5601,1023
5612,974
5622,1023
5634,296
5644,1023
5654,1023
5665,638
5676,980
5687,1023
5697,833
5707,1023
5719,1023
5729,1023
5740,1023
5750,174
5761,1019
5772,1023
5782,632
5793,981
5804,1023
5814,937
5825,1023
5835,1023
5847,1023
5857,1023
5867,329
5878,1023
5889,1023
5900,1023
5910,1023
5920,946
5932,1005
5942,1023
5953,82
5963,991
5974,1023
5985,202
5995,1023
6006,1023
6017,929
6027,1023
6038,59
6048,1023
6059,1023
6070,99
6080,845
6091,1023
6102,393
6112,1023
6123,1023
6133,866
6145,1023
6155,23
6165,740
6176,1023
6187,448
6197,1023
6208,1023
6218,802
6230,992
6240,243
6250,1023
6261,1023
6272,63
6282,1023
6293,1023
6303,708
6315,1023
6325,1023
6336,934
6346,1023
6356,529
6368,1023
6378,1016
6388,769
6400,1023
6410,1023
6421,787
6431,987
6441,1023
6453,994
6463,1023
6474,171
6484,813
6495,1023
6506,945
6516,1023
6528,1023
6538,943
6548,1023
6559,198
6569,772
6580,1023
6591,466
6601,1023
6612,1023
6623,847
6633,1023
6644,899
6654,1018
6666,1023
6676,19
6686,1015
6697,1023
6708,434
6719,1023
6729,1023
6739,849
6751,1023
6761,826
6772,1023
6782,1023
6793,396
6804,796
6814,1023
6825,940
6836,1023
6846,888
6857,805
6867,1023
6878,61
6889,1023
6899,1023
6910,461
6921,962
6931,1023
6942,816
6952,1014
6964,76
6974,871
6984,1023
6995,6
7006,1023
7016,1023
7027,588
7037,1023
7049,1023
7059,964
7069,1023
7080,922
7091,1023
7102,1023
7112,310
7122,950
7134,1023
7144,778
7154,999
7165,1023
7176,1023
7187,1023
7197,114
7207,990
7219,1007
7229,511
7240,1023
7250,1023
7261,889
7272,1023
7282,935
7293,1023
7304,1023
7314,277
7325,1023
7335,1023
7347,725
7357,1023
7367,55
7378,1003
7389,1023
7400,674
7410,1023
7420,1010
7432,818
7442,994
7452,1023
7463,837
7474,1023
7485,0
7495,1023
7505,1023
7517,173
7527,896
7538,1023
7548,666
7559,1023
7570,1022
7580,921
7590,1023
7602,0
7612,977
7623,1023
7633,437
7644,914
7655,1014
7665,805
7675,1023
7687,1018
7697,1023
7708,1023
7718,343
7730,878
7740,1023
7750,581
7761,1023
7772,984
7782,920
7793,1023
7803,1023
7815,1022
7825,1023
7835,288
7846,879
7857,1023
7868,663
7878,1023
7888,1003
7900,900
7910,1023
7921,1023
7931,1023
7942,1023
7953,394
7963,1003
7974,1023
7985,782
7995,1023
8006,0
8016,997
8027,1023
8038,245
8048,1023
8059,1023
8070,676
8080,1023
8091,1023
8101,944
8113,1023
8123,865
8133,1023
8144,1023
8155,495
8166,957
8176,1017
8186,796
8198,1023
8208,860
8219,1023
8229,1023
8240,102
8251,1023
8261,1023
8272,563
8283,920
8293,1023
8304,952
8314,1023
8326,986
8336,1023
8346,1023
8357,352
8368,1023
8379,1023
8389,1023
8399,1023
8411,1023
8421,995
8432,1023
8442,1023
8453,1023
8464,1023
8474,443
8485,985
8496,1023
8506,850
8517,1023
8527,1023
8539,1023
8549,1023
8559,333
8570,823
8581,1005
8592,561
8602,1023
8612,1023
8624,932
8634,1023
8645,122
8655,843
8666,1019
8677,285
8687,1023
8697,1023
8709,834
8719,1023
8730,1023
8740,983
8751,1023
8762,255
8772,1023
8783,1023
8794,413
8804,1023
8815,1023
8825,841
8837,990
8847,814
8857,1023
8868,1023
8879,270
8890,1023
8900,1023
8910,807
8922,1018
8932,880
8943,1023
8953,1023
8964,6
8975,1023
8985,1023
8995,421
9007,1001
9017,1023
9028,830
9038,1023
9049,728
9060,1023
9070,1023
9081,253
9092,1023
9102,1021
9113,761
9123,978
9135,1023
9145,1017
9155,1023
9166,918
9177,1023
9188,1023
9198,230
9208,928
9220,1023
9230,661
9241,1023
9251,1023
9262,1023
9273,1023
9283,1023
9294,1023
9305,1023
9315,652
9326,1014
9336,990
9348,1023
9358,1023
9368,904
9379,678
9390,1023
9401,200
9411,1023
9421,1023
9433,452
9443,1023
9454,1023
9464,954
9475,1023
9486,272
9496,1023
9507,1023
9518,504
9528,988
9539,1023
9549,774
9561,1023
9571,1023
9581,1023
9592,1023
9603,108
9614,1023
9624,1023
9634,475
9646,1020
9656,1023
9667,888
9677,1023
9688,995
9699,1023
9709,1023
9720,218
9731,1023
9741,1023
9752,843
9762,1023
9774,51
9784,956
9794,1023
9805,47
9816,1023
9826,1023
9837,378
9847,985
9859,1023
9869,774
9879,1023
9890,80
9901,1023
9912,1023
9922,878
9932,827
9944,1023
9954,545
9964,985
9975,1023
9986,859
9997,1023
10007,137
10017,1023
10029,1023
10039,639
10050,1023
10060,1023
10072,648
10082,1023
10093,1023
10103,949
10114,1023
10125,2
10135,1023
10146,1023
10157,219
10168,1023
10178,1023
10188,700
10200,1023
10210,708
10221,964
10231,1023
10243,1001
10253,667
10264,1023
10274,570
10285,964
10296,1014
10306,1009
10317,1023
10328,1023
10339,979
10349,1023
10360,0
10371,998
10381,1023
10392,488
10402,975
10414,1023
10424,875
10434,984
10445,819
10456,1023
10467,1023
10477,950
10488,1023
10499,1023
10510,570
10520,1023
10530,1023
10542,971
10552,1023
10563,1023
10573,1023
10585,1023
10595,36
10605,1023
10616,1023
10627,548
10638,956
10648,1023
10659,801
10670,1023
10681,944
10691,1023
10701,1023
10713,360
10723,922
10734,1023
10744,714
10756,1023
10766,1023
10777,1023
10787,1023
10798,12
10809,1023
10819,1023
10830,229
10841,817
10852,1023
10862,1023
10872,1023
10884,92
10894,1017
10905,1023
10915,634
10927,972
10937,1023
10948,1023
10958,1008
10969,1023
10980,831
10990,1023
11001,1023
11012,847
11023,1023
11033,1023
11044,1015
11055,1023
11066,663
11076,1023
11086,1015
11098,683
11108,978
11119,1023
11129,944
11141,1023
11151,627
11161,1023
11172,1023
11183,347
11194,905
11204,1023
11215,682
11226,1023
11237,1023
11247,864
11257,1023
11269,328
