Millis,Leituras
0,318
10,312
20,286
30,293
41,278
52,273
62,284
73,265
83,272
94,269
104,254
115,267
125,256
136,250
147,261
157,247
167,253
179,253
189,240
199,251
210,248
221,237
231,250
242,235
252,238
263,243
274,230
284,241
294,235
306,227
316,239
326,227
337,227
348,236
358,221
369,231
379,228
390,218
400,241
411,219
421,218
432,227
443,217
453,219
463,222
475,211
485,223
495,214
506,211
517,222
527,210
538,216
548,226
559,207
570,219
580,212
590,206
602,217
612,211
622,208
633,215
644,201
654,213
665,207
675,199
686,211
697,200
707,202
717,210
729,198
739,208
749,205
759,193
771,208
781,197
791,197
802,207
813,194
823,202
834,203
844,192
855,204
866,196
876,194
886,208
898,193
908,193
918,202
929,190
940,202
950,195
961,188
971,210
982,189
993,193
1003,214
1013,188
1025,199
1035,195
1045,187
1056,200
1067,189
1077,189
1088,199
1098,187
1110,195
1120,197
1130,186
1141,198
1152,194
1162,186
1173,204
1183,186
1193,190
1205,196
1215,185
1226,196
1236,192
1247,184
1258,197
1268,186
1278,187
1290,196
1300,184
1310,193
1321,194
1332,183
1343,195
1353,187
1363,183
1375,199
1385,183
1395,187
1406,193
1417,181
1427,192
1438,188
1448,181
1460,193
1470,182
1480,183
1491,194
1502,180
1512,185
1523,189
1533,179
1544,191
1555,183
1565,179
1576,191
1587,179
1597,185
1608,191
1618,178
1629,191
1640,185
1650,179
1660,191
1672,180
1682,181
1692,191
1703,178
1714,187
1725,187
1735,175
1745,188
1757,180
1767,177
1777,188
1788,176
1799,182
1810,187
1820,175
1830,187
1842,189
1852,175
1862,188
1873,190
1884,155
1894,164
1905,153
1915,163
1927,163
1937,154
1947,168
1958,158
1969,157
1979,169
1990,157
2000,164
2011,272
2022,165
2032,172
2042,165
2054,159
2064,171
2075,160
2085,162
2096,170
2107,159
2117,169
2127,168
2139,157
2149,171
2159,162
2170,159
2181,176
2192,160
2202,172
2212,162
2224,145
2234,159
2244,153
2255,143
2266,159
2276,143
2287,146
2297,154
2309,141
2319,149
2329,249
2340,144
2351,138
2361,154
2372,129
2382,241
2393,124
2404,135
2414,228
2425,124
2436,129
2446,191
2457,82
2467,105
2478,89
2489,97
2499,104
2509,74
2521,90
2531,83
2541,78
2552,93
2563,84
2573,88
2584,105
2594,87
2605,94
2616,198
2626,61
2636,83
2648,71
2658,62
2668,85
2679,72
2690,82
2700,87
2710,80
2721,95
2732,90
2742,85
2753,99
2763,90
2774,98
2785,103
2795,91
2805,85
2817,82
2827,78
2837,94
2848,86
2859,90
2869,103
2880,90
2890,103
2900,103
2912,94
2922,110
2932,102
2944,103
2954,115
2964,105
2975,114
2985,105
2997,87
3007,88
3017,109
3028,54
3039,70
3049,81
3059,51
3070,61
3081,50
3091,66
3102,65
3112,62
3123,78
3134,70
3144,75
3154,86
3166,77
3176,90
3186,188
3197,63
3208,78
3218,72
3229,48
3239,176
3250,74
3261,66
3271,167
3281,62
3293,70
3303,103
3313,61
3324,68
3335,48
3345,55
3356,124
3366,53
3377,65
3388,117
3398,58
3408,183
3420,93
3430,55
3440,73
3451,53
3462,68
3472,163
3483,64
3493,186
3504,104
3515,79
3525,187
3535,81
3547,137
3557,185
3567,75
3578,193
3589,134
3599,80
3610,193
3620,93
3631,102
3642,100
3652,69
3662,164
3674,77
3684,60
3694,187
3705,99
3716,73
3726,186
3737,78
3747,182
3758,182
3769,76
3779,194
3789,116
3801,82
3811,192
3821,88
3832,143
3843,188
3854,79
3864,94
3874,119
3886,63
3896,83
3906,78
3916,70
3928,100
3938,61
3948,96
3959,131
3970,56
3980,87
3991,85
4001,59
4012,117
4023,57
4033,69
4043,164
4055,31
4065,61
4075,71
4086,33
4097,42
4107,24
4118,19
4128,48
4139,17
4150,33
4160,27
4170,29
4182,45
4192,37
4202,45
4212,54
4224,47
4234,62
4244,58
4255,57
4265,75
4276,63
4287,71
4297,78
4307,69
4319,81
4329,76
4339,72
4350,87
4361,79
4371,83
4382,92
4392,82
4403,96
4413,94
4424,88
4434,105
4445,94
4456,93
4466,106
4476,96
4488,107
4498,109
4509,101
4519,113
4530,106
4541,104
4551,117
4561,107
4573,112
4583,119
4593,109
4604,121
4615,117
4625,111
4636,124
4646,116
4658,117
4668,128
4678,116
4689,127
4700,137
4710,118
4721,130
4731,123
4742,121
4753,133
4763,123
4774,129
4785,134
4795,124
4806,135
4816,131
4827,123
4838,138
4848,129
4858,131
4870,140
4880,129
4891,139
4901,139
4912,130
4923,142
4933,135
4943,133
4955,144
4965,134
4975,140
4986,145
4997,135
5008,146
5018,141
5028,135
5040,148
5050,138
5060,141
5071,151
5082,138
5092,148
5103,147
5113,139
5125,150
5135,143
5145,141
5156,152
5167,142
5177,148
5188,157
5198,142
5209,153
5220,149
5230,142
5241,138
5252,123
5262,127
5273,136
5283,125
5294,136
5305,146
5315,126
5325,140
5337,132
5347,131
5358,142
5368,132
5379,136
5390,143
5400,133
5410,145
5422,139
5432,133
5442,147
5453,138
5464,141
5475,148
5485,138
5495,149
5507,147
5517,139
5527,151
5538,143
5549,142
5559,153
5570,142
5580,150
5592,153
5602,142
5612,154
5623,148
5634,144
5644,155
5655,146
5665,150
5676,157
5687,146
5697,157
5707,154
5719,144
5729,159
5740,150
5750,147
5761,162
5772,149
5782,156
5792,159
5804,149
5814,160
5824,154
5835,146
5846,167
5857,149
5867,153
5877,159
5889,148
5899,159
5909,156
5920,148
5931,160
5941,152
5952,152
5962,164
5974,151
5984,158
5994,165
6005,149
6016,159
6026,189
6037,121
6047,135
6057,125
6069,112
6079,119
6090,109
6100,122
6111,120
6122,114
6132,128
6142,120
6154,120
6164,131
6174,122
6185,131
6196,133
6207,124
6217,137
6227,131
6239,128
6249,141
6259,131
6270,136
6281,144
6291,132
6302,143
6312,140
6324,134
6334,146
6344,138
6355,139
6366,148
6376,137
6387,146
6397,148
6408,139
6419,151
6429,144
6440,141
6451,155
6461,144
6472,148
6482,153
6493,142
6504,153
6514,149
6524,139
6536,153
6546,145
6557,143
6567,155
6578,144
6589,153
6599,154
6609,144
6621,157
6631,149
6641,147
6652,158
6663,148
6674,153
6684,158
6694,149
6706,159
6716,155
6726,148
6737,160
6748,151
6758,152
6769,166
6779,150
6791,160
6801,160
6811,150
6822,162
6833,155
6843,153
6854,164
6864,155
6875,159
6886,163
6896,156
6907,164
6918,160
6928,153
6939,167
6949,156
6960,157
6971,171
6981,154
6991,164
7003,163
7013,154
7024,166
7034,156
7045,152
7056,164
7066,155
7076,159
7088,163
7098,151
7108,162
7119,178
7130,151
7141,163
7151,153
7161,155
7173,163
7183,153
7193,161
7204,162
7215,152
7225,164
7236,157
7246,154
7258,165
7268,154
7278,160
7289,164
7300,153
7310,164
7321,159
7331,153
7342,173
7353,153
7363,151
7374,189
7385,150
7395,156
7406,158
7416,148
7427,161
7438,152
7448,150
7458,163
7470,153
7480,157
7490,161
7501,150
7512,161
7523,156
7533,150
7543,162
7555,153
7565,151
7575,161
7586,149
7597,154
7608,180
7618,147
7628,160
7640,151
7650,150
7660,163
7671,150
7682,157
7692,160
7703,150
7713,161
7725,156
7735,147
7745,163
7756,153
7767,155
7777,163
7788,151
7798,161
7809,160
7820,150
7830,163
7841,155
7852,150
7862,165
7873,160
7883,160
7894,163
7905,152
7915,165
7925,159
7937,153
7947,166
7958,154
7968,157
7979,178
7990,152
8000,163
8010,160
8022,152
8032,164
8042,155
8053,154
8064,164
8075,154
8085,160
8095,164
8107,156
8117,165
8127,159
8138,154
8148,166
8159,154
8170,157
8180,164
8192,151
8202,163
8212,160
8223,149
8233,164
8244,156
8255,155
8265,165
8275,154
8287,161
8297,164
8308,154
8318,164
8329,160
8340,154
8350,171
8360,160
8372,160
8382,168
8392,155
8403,167
8414,163
8425,154
8435,167
8445,158
8457,157
8467,170
8477,157
8488,164
8499,166
8509,155
8520,167
8530,170
8541,155
8552,172
8562,162
8573,160
8584,181
8594,158
8605,166
8615,164
8626,154
8637,169
8647,158
8657,156
8669,170
8679,156
8690,164
8700,165
8711,155
8722,167
8732,160
8742,156
8754,168
8764,159
8774,162
8785,169
8796,157
8807,168
8817,165
8827,154
8839,170
8849,160
8859,160
8870,172
8881,156
8891,159
8902,262
8912,163
8924,174
8934,157
8944,151
8955,162
8966,149
8976,154
8987,186
8997,148
9008,159
9019,156
9029,148
9040,160
9051,152
9061,151
9072,165
9082,152
9093,158
9104,158
9114,149
9124,161
9136,154
9146,151
9157,163
9167,152
9178,157
9189,163
9199,151
9209,163
9221,158
9231,148
9241,163
9252,155
9263,154
9274,164
9284,152
9294,160
9306,202
9316,151
9326,164
9337,157
9348,154
9358,168
9369,154
9379,159
9391,164
9401,154
9411,165
9422,161
9433,155
9443,166
9454,157
9464,158
9475,167
9486,156
9496,164
9507,166
9518,156
9528,167
9539,161
9549,156
9560,171
9571,159
9581,163
9591,167
9603,157
9613,167
9624,163
9634,157
9645,169
9656,160
9666,156
9676,177
9688,158
9698,167
9708,167
9719,156
9730,169
9741,161
9751,155
9761,169
9773,158
9783,163
9793,168
9804,159
9815,168
9825,170
9836,157
9846,170
9858,159
9868,160
9878,171
9889,158
9900,167
9910,166
9921,155
9931,169
9942,161
9953,158
9963,169
9974,159
9985,164
9995,188
10006,159
10016,169
10027,165
10038,158
10048,171
10059,172
10070,156
10081,171
10091,164
10101,168
10113,168
10123,159
10134,170
10144,174
10155,159
10166,171
10176,161
10187,162
10198,176
10208,160
10219,169
10229,169
10241,160
10251,172
10262,164
10272,158
10283,172
10294,162
10304,165
10315,171
10326,163
10336,170
10347,168
10357,157
10369,170
10379,162
10390,160
10400,171
10411,161
10422,161
10432,171
10443,159
10454,170
10464,166
10475,155
10485,171
10497,162
10507,161
10518,172
10528,161
10539,167
10550,182
10560,160
10571,171
10582,166
10592,159
10603,172
10613,164
10625,158
10635,170
10646,162
10656,165
10667,167
10678,156
10688,169
10699,162
10710,156
10720,173
10731,158
10741,160
10753,173
10763,157
10773,166
10784,166
10795,157
10806,168
10816,161
10827,155
10838,169
10848,157
10859,161
10869,167
10881,158
10891,167
10901,200
10912,156
10923,168
10934,159
10944,157
10955,172
10966,158
10976,163
10987,168
10997,157
11009,168
11019,165
11029,154
11040,167
11051,159
11062,158
11072,169
11082,157
11094,164
11104,168
11115,155
11125,167
11137,162
11147,153
11157,167
11168,154
11179,154
11190,168
11200,157
11210,163
11222,164
11232,155
11243,167
11253,160
11265,155
11275,168
11285,157
11296,160
11307,171
11318,151
11328,155
11338,170
11350,145
11360,158
11371,169
11381,143
11392,161
11403,146
11413,150
11424,157
11435,147
11446,157
11456,169
11466,144
11478,159
11488,150
11499,149
11509,163
11520,149
11531,156
11541,160
11552,150
11563,161
