Millis,Leituras
0,209
10,235
20,152
30,120
41,215
52,98
62,94
73,75
83,39
94,36
104,16
114,1
125,11
136,0
146,0
156,1
167,0
178,121
188,0
198,0
209,95
220,0
230,0
240,0
251,0
262,7
272,0
282,1
292,58
304,0
314,101
324,0
335,0
346,119
356,0
366,1
377,10
388,0
398,15
408,7
419,0
430,6
440,0
450,0
460,14
472,0
482,66
492,0
502,0
514,116
524,0
534,4
544,9
556,0
566,0
576,0
586,0
598,22
608,0
618,0
628,66
640,5
650,11
660,0
670,0
681,124
692,0
702,11
712,63
723,0
734,0
744,0
754,0
765,13
776,0
786,21
796,15
807,0
818,3
828,0
838,0
849,125
860,0
870,3
880,69
891,0
902,12
912,2
922,0
933,7
944,0
954,11
964,9
974,0
986,0
996,0
1006,0
1016,26
1028,0
1038,4
1048,3
1059,0
1070,55
1080,8
1090,0
1101,61
1112,1
1122,0
1132,112
1143,0
1154,0
1164,0
1175,0
1185,25
1196,0
1207,12
1217,116
1227,0
1238,0
1249,0
1259,0
1269,127
1281,5
1291,4
1301,116
1312,0
1323,16
1333,5
1343,0
1354,8
1364,0
1375,0
1385,114
1396,0
1406,0
1417,0
1428,0
1438,0
1448,0
1459,0
1470,74
1480,0
1490,7
1502,3
1512,0
1522,0
1532,0
1544,0
1554,92
1564,0
1574,0
1586,6
1596,0
1606,127
1617,0
1628,0
1638,114
1649,0
1659,14
1670,11
1680,0
1691,0
1701,0
1712,0
1722,17
1733,0
1743,0
1754,103
1765,0
1775,2
1785,0
1797,0
1807,117
1817,0
1827,0
1839,63
1849,0
1859,0
1870,18
1881,0
1891,15
1901,0
1912,0
1923,111
1933,0
1944,6
1954,0
1965,0
1975,0
1986,0
1996,10
2007,111
2018,0
2028,0
2038,0
2049,0
2060,34
2070,0
2080,0
2092,7
2102,0
2112,0
2122,0
2134,0
2144,18
2154,0
2164,1
2176,116
2186,0
2196,8
2207,34
2217,0
2228,2
2238,0
2249,0
2259,39
2270,0
2281,0
2291,106
2301,0
2313,11
2323,1
2333,0
2343,16
2355,0
2365,16
2375,116
2386,0
2397,0
2407,10
2417,3
2428,29
2439,0
2449,14
2460,120
2470,0
2481,0
2492,0
2502,0
2512,0
2523,0
2534,0
2544,7
2554,0
2565,21
2576,29
2586,0
2596,41
2608,2
2618,0
2628,110
2639,0
2650,0
2660,0
2670,0
2681,1
2692,0
2702,12
2712,48
2723,0
2734,10
2744,66
2755,0
2765,122
2776,0
2787,0
2797,116
2807,0
2818,0
2829,2
2839,0
2849,104
2861,0
2871,0
2881,116
2892,0
2903,15
2913,29
2923,0
2934,8
2945,0
2955,0
2966,100
2976,0
2987,0
2997,59
3008,0
3018,17
3028,12
3040,0
3050,18
3060,0
3070,0
3082,97
3092,0
3102,10
3113,28
3124,1
3134,125
3145,6
3155,16
3166,54
3177,0
3187,0
3197,0
3208,0
3219,6
3229,0
3239,5
3250,114
3261,0
3271,0
3281,0
3293,0
3303,124
3313,0
3323,0
3335,116
3345,0
3355,12
3366,5
3377,0
3387,10
3398,0
3408,0
3419,12
3429,0
3440,0
3450,2
3461,0
3471,129
3482,0
3492,0
3503,117
3514,0
3524,0
3534,83
3546,0
3556,34
3566,1
3576,0
3588,0
3598,0
3608,0
3618,1
3630,0
3640,10
3650,0
3661,1
3672,7
3682,0
3692,5
3703,113
3714,0
3724,0
3735,0
3745,0
3756,0
3766,0
3777,31
3787,0
3798,0
3809,0
3819,0
3829,0
3840,51
3851,1
3861,0
3871,9
3881,0
3893,0
3903,0
3913,0
3924,0
3935,0
3945,0
3955,51
3966,0
3977,4
3987,1
3997,0
4008,122
4019,6
4029,0
4040,116
4050,0
4061,0
4072,1
4082,0
4092,2
4103,0
4114,6
4124,80
4134,0
4145,0
4156,1
4166,0
4176,41
4188,0
4198,0
4208,85
4218,0
4230,0
4240,13
4250,0
4261,24
4272,0
4282,0
4292,106
4303,0
4314,6
4324,49
4335,0
4345,0
4356,0
4366,0
4377,119
4387,0
4398,0
4409,18
4419,0
4429,1
4440,0
4451,0
4461,119
4471,0
4483,6
4493,64
4503,0
4513,1
4525,0
4535,0
4545,13
4556,0
4567,0
4577,9
4587,0
4598,16
4609,3
4619,0
4629,128
4640,1
4651,17
4661,123
4672,0
4682,0
4692,0
4704,0
4714,86
4724,1
4734,0
4746,70
4756,0
4766,24
4777,12
4788,0
4798,125
4809,0
4819,0
4830,54
4840,0
4851,15
4861,105
4872,0
4883,13
4893,2
4903,0
4914,12
4925,0
4935,4
4945,75
4957,0
4967,0
4977,0
4987,0
4999,9
5009,0
5019,0
5030,110
5041,0
5051,0
5061,0
5072,0
5083,13
5093,0
5104,6
5114,113
5125,0
5135,0
5146,0
5156,0
5167,15
5178,0
5188,7
5198,117
5209,0
5220,12
5230,1
5240,0
5252,0
5262,0
5272,0
5282,88
5294,0
5304,8
5314,0
5325,0
5336,0
5346,0
5356,0
5367,0
5378,0
5388,0
5398,40
5409,0
5420,125
5430,5
5441,0
5451,15
5462,0
5472,0
5483,1
5493,0
5504,5
5515,0
5525,0
5535,71
5545,0
5557,3
5567,2
5577,0
5587,0
5599,0
5609,0
5619,114
5630,0
5641,8
5651,2
5661,0
5672,0
5683,0
5693,0
5704,118
5714,0
5725,0
5735,51
5746,0
5756,0
5767,0
5778,0
5788,110
5798,0
5809,7
5820,46
5830,0
5840,2
5852,0
5862,0
5872,19
5882,0
5894,0
5904,7
5914,0
5924,19
5936,3
5946,0
5956,124
5967,0
5978,0
5988,90
5999,0
6009,17
6020,0
6030,0
6041,5
6051,0
6062,0
6072,13
6083,0
6093,0
6104,0
6115,0
6125,20
6135,0
6146,11
6157,119
6167,0
6177,0
6189,1
6199,0
6209,117
6220,0
6231,12
6241,67
6251,2
6262,3
6273,29
6283,0
6294,21
6304,0
6315,0
6325,2
6336,0
6346,5
6356,47
6368,0
6378,19
6388,4
6398,14
6410,131
6420,0
6430,0
6441,37
6452,0
6462,4
6472,0
6483,0
6494,12
6504,0
6515,0
6525,64
6536,0
6546,3
6557,0
6567,1
6578,124
6589,0
6599,0
6609,58
6620,0
6631,0
6641,0
6651,0
6663,123
6673,0
6683,0
6693,107
6705,0
6715,0
6725,0
6736,0
6747,122
6757,0
6767,0
6778,113
6789,0
6799,12
6810,3
6820,0
6831,0
6842,0
6852,0
6862,44
6873,0
6884,0
