Millis,Leituras
0,224
10,184
20,180
30,197
41,95
52,217
62,85
73,50
83,64
94,45
104,33
114,54
125,18
136,4
146,0
156,0
167,48
178,0
188,0
198,81
209,0
220,0
230,0
240,0
251,21
262,0
272,14
282,13
293,6
304,0
314,2
324,0
335,42
346,0
356,7
366,70
377,0
388,15
398,9
408,0
418,19
430,0
440,14
450,12
461,1
472,21
482,8
492,9
502,54
514,0
524,9
534,53
544,0
556,9
566,3
576,0
586,6
598,0
608,4
618,8
628,2
640,0
650,0
660,0
670,81
680,0
692,1
702,24
712,0
722,0
734,0
744,0
754,0
764,0
776,14
786,10
796,0
806,69
818,0
828,0
838,39
848,0
860,0
870,6
880,0
890,6
901,0
912,6
922,2
932,0
943,13
954,4
964,1
974,21
985,11
996,0
1006,7
1016,0
1027,0
1038,53
1048,0
1058,0
1070,0
1080,5
1090,43
1100,0
1112,14
1122,116
1132,0
1143,17
1154,7
1164,9
1174,57
1185,0
1196,0
1206,4
1217,0
1227,0
1238,0
1248,1
1259,14
1269,0
1280,16
1291,53
1301,0
1311,23
1321,13
1333,0
1343,15
1353,4
1364,13
1375,18
1385,0
1395,0
1406,0
1417,0
1427,113
1438,0
1448,0
1459,114
1470,0
1480,0
1490,0
1501,0
1512,21
1522,7
1532,0
1543,115
1554,0
1564,10
1574,5
1586,0
1596,11
1606,0
1617,9
1628,29
1638,0
1648,4
1659,41
1670,0
1680,16
1691,5
1701,0
1712,14
1722,0
1733,4
1743,6
1754,4
1764,6
1775,0
1785,7
1796,81
1807,0
1817,14
1827,17
1838,0
1849,14
1859,6
1869,0
1881,13
1891,0
1901,16
1912,49
1923,0
1933,18
1943,6
1954,0
1965,15
1975,2
1986,3
1996,59
2007,0
2017,0
2028,0
2038,0
2049,15
2060,7
2070,0
2080,37
2091,0
2102,0
2112,0
2122,2
2132,14
2144,0
2154,2
2164,104
2176,0
2186,14
2196,11
2207,0
2217,19
2228,4
2238,0
2249,28
2259,0
2270,16
2281,13
2291,3
2301,23
2312,11
2323,0
2333,14
2343,0
2355,26
2365,112
2375,0
2386,14
2397,15
2407,0
2418,25
2428,0
2439,0
2449,17
2460,0
2470,3
2481,14
2492,0
2502,3
2512,0
2523,0
2534,31
2544,0
2554,13
2566,4
2576,0
2586,49
2596,0
2608,0
2618,77
2628,0
2638,83
2650,3
2660,0
2670,21
2681,3
2692,0
2702,95
2713,0
2723,0
2734,2
2744,0
2755,52
2765,0
2776,0
2786,121
2797,0
2807,12
2818,9
2829,2
2839,8
2849,0
2860,0
