Millis,Leituras
0,248
10,306
20,187
30,301
41,241
52,146
62,257
73,124
83,86
94,190
104,75
115,199
125,164
136,78
147,194
157,76
167,88
178,183
189,65
199,186
209,169
221,34
231,158
241,44
252,49
263,152
273,32
283,158
294,142
305,36
315,159
326,51
336,47
347,156
357,31
368,151
378,144
389,6
400,135
410,35
420,22
432,135
442,4
452,109
462,32
474,0
484,121
494,31
504,7
516,126
526,4
536,87
547,121
558,8
568,135
578,48
589,16
600,135
610,13
621,69
631,130
642,12
652,142
663,81
673,0
684,121
695,2
705,33
715,120
726,0
737,120
747,83
757,4
768,52
779,0
789,16
799,113
809,0
821,128
831,98
841,9
852,130
863,14
873,28
883,124
894,6
905,130
915,113
926,0
936,123
947,8
957,17
968,124
978,3
989,128
1000,114
1010,10
1020,134
1032,25
1042,5
1052,121
1063,0
1074,125
1084,117
1095,0
1105,121
1116,28
1126,9
1137,125
1147,3
1158,78
1169,120
1179,5
1189,134
1201,52
1211,0
1221,123
1232,4
1243,24
1253,122
1264,3
1274,131
1285,111
1296,10
1306,133
1316,20
1328,24
1338,130
1348,8
1358,130
1370,122
1380,13
1391,138
1401,38
1412,23
1423,137
1433,13
1443,92
1455,129
1465,14
1475,142
1486,55
1497,20
1507,141
1518,21
1528,37
1539,136
1550,15
1560,142
1570,124
1582,22
1592,143
1602,32
1613,31
1624,138
1634,17
1645,136
1655,132
1666,20
1677,146
1687,53
1697,26
1709,143
1719,20
1729,15
1740,115
1751,0
1761,129
1772,87
1782,9
1793,127
1804,13
1814,24
1824,13
1836,0
1846,119
1856,106
1867,0
1878,121
1888,13
1899,14
1909,122
1920,2
1930,123
1941,116
1951,5
1961,133
1973,36
1983,17
1993,131
2004,9
2015,81
2025,109
2036,0
2046,124
2057,62
2068,8
2078,126
2088,9
2100,27
2110,122
2120,5
2131,133
2142,114
2152,12
2163,135
2173,22
2184,25
2195,131
2205,9
2215,101
2227,102
2237,0
2247,124
2258,27
2269,6
2279,124
2290,2
2300,90
2311,119
2322,4
2332,134
2342,54
2353,14
2364,132
2374,12
2384,32
2396,128
2406,9
2416,137
2427,117
2438,15
2448,138
2459,24
2469,28
2480,133
2491,12
2501,115
2511,109
2523,1
2533,128
2543,29
2554,14
2565,127
2575,0
2586,84
2596,114
2607,0
2618,129
2628,49
2638,11
2650,130
2660,9
2670,32
2681,124
2692,7
2702,133
2713,114
2723,14
2734,136
2745,23
2755,21
2765,126
2777,6
2787,131
2797,120
2808,12
2819,137
2829,36
2840,22
2850,134
2861,12
2872,98
2882,128
2892,12
2904,92
2914,42
2924,0
2935,97
2946,0
2956,26
2966,113
2977,0
2988,125
2998,99
3009,7
3019,102
3030,0
3041,11
3051,117
3061,0
3073,125
3083,110
3093,6
3104,130
3115,22
3125,18
3136,32
3146,0
3156,113
3168,111
3178,0
3188,128
3200,39
3210,10
3220,129
3231,6
3241,66
3252,122
3262,0
3273,123
3283,70
3294,5
3305,127
3315,9
3325,26
3337,65
3347,0
3357,98
3368,97
3379,0
3389,123
3399,12
3410,17
3421,123
3431,0
3442,119
3452,110
3463,2
3474,128
3484,27
3494,14
3506,129
3516,4
3526,107
3537,122
3548,7
3558,134
3569,52
3579,15
3590,133
3601,11
3611,38
3621,128
3633,10
3643,136
3653,117
3664,17
3675,138
3685,24
3696,29
3706,134
3717,12
3728,97
3738,106
3748,2
3760,128
3770,26
3780,14
3791,128
3802,6
3812,102
3823,123
3833,7
3844,136
3855,55
3865,16
3875,101
3887,0
3897,21
3907,115
3918,0
3929,126
3939,104
3950,7
3960,129
3971,14
3982,22
3992,127
4002,0
4013,120
4024,110
4034,3
4044,129
4056,25
4066,15
4076,127
4087,6
4098,115
4108,116
4119,5
4129,20
4140,31
4151,3
4161,107
4171,0
4183,46
4193,114
4203,0
4214,127
4225,86
4235,8
4246,129
4256,13
4267,25
4278,126
4288,5
4298,132
4310,117
4320,12
4330,135
4341,27
4352,24
4362,131
4373,9
4383,0
4393,105
4404,0
4415,125
4425,12
4435,9
4447,127
4457,6
4467,82
4478,122
4489,6
4499,135
4510,69
4520,16
4531,133
4542,1
4552,22
4562,121
4574,2
4584,129
4594,111
4605,10
4616,133
4626,20
4637,23
4647,72
4658,0
4668,118
4679,110
4689,0
4700,121
4711,24
4721,9
4731,123
4743,0
4753,89
4763,112
4774,0
4785,129
4795,46
4806,10
4816,129
4827,8
4838,38
4848,123
4858,7
4870,134
4880,108
4890,15
4901,135
4912,23
4922,15
4933,123
4943,2
4954,128
4965,116
4975,8
4985,134
4997,30
5007,19
5017,131
5028,0
5039,103
5049,118
5060,4
5070,133
5081,50
5092,12
5102,132
5112,11
5124,9
5134,0
5144,0
5154,123
5166,87
5176,7
5186,127
5197,11
5208,24
5218,126
5229,0
5239,118
5250,104
5261,0
5271,119
5281,13
5293,11
5303,120
5313,1
5324,78
5335,112
5345,0
5356,119
5366,27
5377,6
5387,123
5398,2
5408,73
5419,119
5430,4
5440,131
5450,66
5462,13
5472,131
5482,13
5493,0
5504,111
5514,0
5525,42
5535,100
5545,0
5557,124
5567,12
5577,18
5588,124
5599,3
5609,126
5620,116
5630,9
5641,133
5652,32
5662,7
5672,59
5683,0
5694,97
5704,112
5714,0
5726,1
5736,27
5746,2
5757,122
5768,1
5778,62
5788,119
5799,2
5810,130
5820,78
5831,10
5841,132
5852,14
5863,28
5873,128
5883,8
5895,134
5905,117
5915,14
5926,110
5937,9
5947,9
5958,120
5968,0
5979,122
5990,115
6000,4
6010,94
6022,20
6032,3
6042,120
6053,0
6064,86
6074,117
6084,3
6095,130
6106,53
6116,12
6127,131
6137,10
6148,32
6159,126
6169,8
6179,134
6191,114
6201,15
6211,136
6222,22
6233,5
6243,116
6254,0
6264,124
6275,113
6286,5
6296,132
6306,28
6318,17
6328,129
6338,7
6349,107
6360,122
6370,9
6381,136
6391,54
6402,15
6413,135
6423,13
6433,35
6445,129
6455,10
6465,137
6476,117
6487,16
6497,138
6508,25
6518,29
6529,134
6540,13
6550,136
6560,126
6572,0
6582,122
6592,24
6603,10
6614,124
6624,3
6635,92
6645,120
6656,6
6667,133
6677,54
6687,14
6699,101
6709,0
6719,22
6730,114
6740,0
6751,127
6762,105
6772,7
6782,129
6794,1
6804,11
6814,117
6824,0
6836,125
6846,112
6856,5
6867,130
6878,25
6888,16
6899,128
6909,5
6920,7
6931,107
6941,0
6951,69
6963,25
6973,2
6983,117
6994,0
7005,64
7015,117
7025,1
7036,130
7047,72
7057,11
7068,131
7078,13
7089,0
7100,110
7110,0
7120,123
7132,107
7142,4
7152,128
7163,17
7174,19
7184,126
7195,5
7205,3
7216,102
7227,0
7237,124
7247,24
7258,12
7269,126
7279,4
7289,104
7301,120
7311,5
7321,134
7332,52
7343,13
7353,133
7364,0
7374,27
7385,117
7396,0
7406,128
7416,103
7428,10
7438,129
7448,17
7459,23
7470,128
7480,0
7491,120
7501,110
7512,2
7523,129
7533,25
7543,16
7555,126
7565,0
7575,102
7586,112
7597,1
7607,129
7618,44
7628,10
7639,38
7650,0
7660,39
7670,117
7682,0
7692,48
7702,83
7712,0
7724,121
7734,7
7744,21
7755,121
7766,2
7776,127
7787,68
7797,0
7808,121
7819,12
7829,13
7839,58
7851,0
7861,32
7871,103
7882,0
7892,122
7903,24
7913,9
7924,125
7934,2
7945,98
7956,120
7966,5
7976,133
7988,50
7998,14
8008,132
8019,10
8030,39
8040,126
8051,10
8061,135
8072,115
8083,14
8093,137
8103,23
8115,0
8125,115
8135,0
8146,122
8157,109
8167,4
8178,129
8188,25
8199,16
8210,127
8220,6
8230,111
8242,122
8252,8
8262,136
8273,50
8284,16
8294,134
8305,13
8315,44
8326,128
8337,11
8347,138
8357,112
8369,17
8379,138
8389,25
8400,1
8411,115
8421,0
8431,122
8442,111
8453,4
8463,101
8474,11
8484,4
8495,117
8506,0
8516,113
8526,70
8538,0
8548,121
8558,32
8569,5
8580,87
8590,0
8601,58
8611,75
8622,0
8632,120
8643,58
8653,3
8664,124
8675,5
8685,24
8695,120
8707,2
8717,3
8727,93
8738,0
8749,38
8759,0
8769,14
8780,117
8791,0
8801,125
8812,110
8822,7
8833,130
8844,24
8854,18
8864,128
8876,5
8886,123
8896,9
8907,0
8918,0
8928,19
8938,6
8949,122
8960,0
8970,82
8981,114
8991,0
9001,129
9013,51
9023,9
9033,129
9044,9
9055,33
9065,123
9076,6
9086,134
9097,107
9108,14
9118,135
9128,21
9140,26
9150,131
9160,9
9170,130
9182,119
9192,13
9203,138
9213,34
9224,8
9234,127
9245,6
9255,39
9266,120
9277,9
9287,135
9297,49
9309,17
9319,135
9329,13
9340,46
9351,0
9361,0
9372,122
9382,81
9393,4
9404,126
9414,11
9424,1
9435,112
9446,0
9456,122
9466,108
9478,4
9488,128
9498,18
9509,17
9520,126
9530,3
9541,125
9551,118
9562,7
9573,134
9583,38
9593,17
9605,126
9615,6
9625,80
9636,123
9647,7
9657,136
9668,67
9678,15
9689,134
9700,16
9710,33
9720,129
9732,10
9742,137
9752,120
9763,16
9774,138
9784,27
9795,28
9805,134
9816,12
9827,109
9837,108
9847,0
9859,127
9869,33
9879,12
9890,126
9901,6
9911,74
9922,126
9932,10
9943,138
9954,78
9964,0
9974,121
9986,4
9996,23
10006,120
10017,2
10028,129
10038,112
10049,0
10059,120
10070,17
10081,12
10091,123
10102,1
10113,107
10123,118
10134,0
10144,122
10155,56
10166,5
10176,127
10187,9
10198,25
10208,123
10219,4
10229,129
10240,116
10251,9
10261,134
10272,13
10283,4
10293,121
10304,0
10314,69
10324,108
10336,0
10346,126
10356,70
10368,9
10378,128
10389,12
10399,0
10409,113
10421,0
10431,119
10441,109
10452,0
10463,119
10474,21
10484,6
10494,121
10506,1
10516,77
10526,119
10537,4
10548,131
10558,81
10569,11
10579,132
10591,13
10601,21
10611,127
10622,5
10633,125
10643,116
10654,9
10664,117
10676,27
10686,7
10696,123
10707,3
10718,60
10728,120
10739,4
10749,26
10761,89
10771,5
10781,126
10792,13
10803,0
10813,113
10824,0
10834,127
10845,118
10856,9
10866,135
10877,40
10888,0
10898,118
10909,1
10919,0
10930,110
10941,0
10951,125
10961,98
10973,5
10983,56
10993,4
11004,13
11015,118
11026,0
11036,122
11046,113
11058,5
11068,131
11078,37
11089,0
11100,115
11111,0
11121,0
11131,88
11143,0
11153,121
11163,84
11174,3
11185,126
11195,11
11206,19
11216,102
11227,0
11238,51
11248,102
11259,0
11270,124
11280,19
11291,0
11301,116
11312,0
11323,0
11333,111
11343,0
11355,121
11365,83
11376,4
11386,125
11397,11
11408,23
11418,123
11428,3
11440,125
11450,117
11461,6
11471,102
11482,19
11493,1
11503,119
11513,0
