Millis,Leituras
0,219
10,189
20,283
30,136
41,117
52,152
62,58
73,40
83,27
94,15
104,129
115,0
125,0
136,54
146,0
157,40
167,2
178,0
188,51
199,0
209,15
220,85
230,0
241,0
251,0
262,0
272,118
283,0
293,0
304,45
314,0
324,22
335,0
346,0
356,116
367,0
377,19
388,64
398,0
409,0
419,0
430,0
440,116
451,0
461,0
472,46
482,0
492,124
503,5
514,4
524,121
535,0
545,0
556,3
566,0
577,35
587,3
598,0
608,117
619,0
629,2
640,2
650,0
660,10
671,0
681,0
692,113
703,0
713,0
723,0
734,0
744,119
755,0
765,0
776,118
787,0
797,14
807,5
818,0
828,11
839,0
849,0
860,118
871,0
881,0
891,0
902,0
912,122
923,3
933,0
944,115
955,0
965,2
975,1
986,0
996,29
1007,0
1017,0
1028,115
1039,0
1049,118
1059,2
1071,0
1081,123
1091,0
1101,0
1113,116
1123,0
1133,0
1144,44
1155,0
1165,6
1175,0
1186,0
1197,0
1207,0
1218,9
1228,0
1239,0
1249,0
1260,0
1270,0
1281,119
1292,0
1302,0
1312,106
1323,0
1334,0
1344,0
1354,0
1364,9
1376,0
1386,104
1396,119
1408,0
1418,0
1428,0
1439,0
1449,123
1460,0
1470,8
1481,118
1491,2
1502,0
1513,0
1523,0
1533,0
1544,0
1555,0
1565,25
1575,0
1587,0
1597,16
1607,0
1617,60
1629,0
1639,0
1649,114
1660,0
1671,15
1681,40
1692,0
1702,25
1713,0
1723,0
1734,115
1744,0
1755,0
1766,23
1776,0
1786,12
1797,0
1808,0
1818,0
1828,0
1840,0
1850,94
1860,0
1870,0
1882,8
1892,0
1902,119
1913,0
1924,0
1934,54
1944,0
1955,0
1966,0
1976,0
1986,119
1997,0
2008,0
2018,26
2029,0
2039,0
2050,0
2060,0
2071,120
2081,0
2092,0
2103,111
2113,0
2123,0
2135,24
2145,0
2155,32
2165,1
2177,0
2187,114
2197,0
2208,7
2219,89
2229,0
2239,121
2250,0
2260,0
2271,117
2282,0
