Millis,Leituras
0,238
10,187
20,280
30,162
41,275
52,134
62,117
73,231
83,118
94,123
104,219
115,102
125,220
136,205
147,99
157,213
167,108
179,103
189,206
199,87
210,180
221,194
231,45
241,172
252,77
263,49
273,169
284,51
294,121
305,163
316,52
326,176
336,103
347,59
358,172
368,54
378,31
390,132
400,22
410,147
420,103
432,32
442,151
452,33
463,11
474,92
484,5
494,134
505,108
516,19
526,139
537,24
547,37
558,138
569,21
579,146
589,129
600,29
611,149
621,35
631,42
643,145
653,27
663,151
673,137
685,29
695,152
705,43
716,41
727,150
737,29
748,145
758,141
769,33
779,156
790,52
800,10
811,128
822,11
832,99
842,84
852,13
864,139
874,44
884,27
896,141
906,21
916,86
926,135
937,23
948,148
958,72
969,31
979,63
990,2
1000,58
1011,124
1021,0
1032,121
1043,75
1053,0
1063,117
1075,3
1085,22
1095,120
1106,6
1117,133
1127,115
1138,14
1148,136
1159,23
1170,29
1180,134
1190,14
1202,36
1212,106
1222,1
1233,128
1244,26
1254,11
1265,125
1275,7
1286,82
1296,124
1307,12
1317,137
1329,75
1339,23
1349,140
1359,21
1371,40
1381,136
1391,19
1402,146
1413,126
1424,26
1434,146
1444,32
1456,38
1466,142
1476,23
1487,116
1498,112
1508,4
1519,131
1529,28
1540,1
1550,99
1561,0
1571,75
1582,115
1593,0
1603,98
1613,34
1625,2
1635,121
1645,3
1656,41
1667,119
1677,6
1687,41
1698,73
1709,0
1719,118
1730,5
1740,21
1751,121
1762,5
1772,132
1782,116
1794,0
1804,66
1814,1
1825,12
1836,120
1846,2
1856,127
1867,115
1878,10
1889,134
1899,29
1909,0
1920,123
1931,2
1941,82
1951,120
1963,0
1973,9
1983,30
1994,5
2004,124
2015,5
2026,50
2036,122
2046,9
2057,21
2068,70
2078,5
2088,114
2100,1
2110,20
2120,121
2131,3
2142,130
2152,113
2163,10
2173,133
2184,25
2195,26
2205,133
2215,13
2227,131
2237,126
2247,16
2258,142
2269,50
2279,1
2290,126
2300,9
2311,77
2322,126
2332,12
2342,137
2354,83
2364,20
2374,140
2385,25
2396,38
2406,135
2417,18
2427,15
2438,101
2449,0
2459,117
2469,17
2481,18
2491,125
2501,8
2512,96
2523,102
2533,0
2543,124
2554,30
2565,13
2575,123
2586,7
2596,94
2607,123
2618,11
2628,135
2638,63
2650,20
2660,138
2670,22
2681,41
2692,133
2702,17
2713,140
2723,124
2734,24
2745,144
2755,35
2765,37
2777,142
2787,0
2797,1
2808,103
2819,0
2829,122
2840,25
2850,14
2861,126
2872,7
2882,109
2892,123
2904,11
2914,138
2924,56
2935,21
2946,105
2956,0
2967,33
2977,116
2988,0
2999,120
3009,87
3019,6
3031,129
3041,18
3051,27
3062,127
3073,10
3083,134
3094,121
3104,16
3115,137
3126,38
3136,0
3146,118
3158,0
3168,44
3178,113
3188,9
3200,122
3210,38
3220,14
3231,130
3241,12
3252,67
3263,127
3273,13
3283,138
3295,92
3305,23
3315,141
3326,28
3337,38
3347,138
3358,20
3368,29
3379,109
3390,9
3400,134
3410,30
3422,26
3432,134
3442,16
3453,132
3464,130
3474,0
3485,129
3495,41
3506,17
3517,62
3527,0
3537,0
3549,106
3559,0
3569,123
3580,59
3591,9
3601,129
3611,16
3622,30
3633,67
3643,0
3654,120
3664,98
3675,5
3686,128
3696,19
3706,24
3718,128
3728,10
3738,132
3749,121
3760,15
3770,139
3781,40
3791,25
3802,139
3813,19
3823,107
3833,71
3845,0
3855,123
3865,43
3876,8
3887,127
3897,12
3908,45
3918,125
3929,10
3940,135
3950,105
3960,17
3972,105
3982,9
3992,19
4003,125
4014,7
4024,130
4035,0
4045,0
4056,119
4067,20
4077,12
4087,123
4099,4
4109,118
4119,116
4130,10
4141,134
4151,48
4162,20
4172,136
4183,18
4194,26
4204,107
4214,0
4225,123
4236,82
4246,10
4256,27
4268,6
4278,21
4288,89
4299,0
4310,118
4320,105
4331,4
4341,127
4352,21
4363,19
4373,128
4383,8
4395,83
4405,112
4415,0
4426,122
4436,30
4447,13
4458,127
4468,8
4478,31
4489,108
4500,0
4510,76
4520,40
4532,7
4542,126
4552,9
4563,46
4574,125
4584,9
4595,135
4605,79
4616,0
4627,116
4637,7
4647,17
4658,120
4669,2
4679,126
4689,113
4701,9
4711,133
4721,28
4732,23
4743,132
4753,11
4764,130
4774,127
4785,15
4796,140
4806,51
4816,0
4828,123
4838,7
4848,0
4859,110
4870,0
4880,127
4891,65
4901,12
4912,68
4923,3
4933,22
4943,103
4955,0
4965,120
4975,26
4985,0
4997,17
5007,4
5017,14
5028,119
5039,2
5049,126
5060,115
5070,10
5081,134
5092,33
5102,0
5112,122
5124,0
5134,110
5144,116
5155,5
5166,132
5176,45
5187,16
5197,133
5208,16
5219,61
5229,129
5239,15
5251,139
5261,84
5271,20
5282,141
5293,30
5303,37
5314,138
5324,19
5335,142
5346,96
5356,20
5366,144
5378,42
5388,1
5398,118
5409,1
5420,111
5430,116
5441,6
5451,132
5462,45
5473,16
5483,134
5493,16
5505,65
5515,130
5525,15
5536,18
5547,66
5557,2
5567,125
5578,13
5588,1
5599,112
5610,0
5620,28
5630,100
5642,0
5652,125
5662,20
5673,21
5684,126
5694,8
5705,128
5715,122
5726,0
5737,126
5747,33
5757,16
5769,130
5779,12
5789,84
5800,122
5811,9
5821,136
5832,64
5842,21
5853,137
5864,23
5874,39
5884,134
5896,17
5906,140
5916,124
5927,23
5938,143
5948,37
5959,36
5969,141
5980,22
5991,36
6001,117
6011,10
6023,135
6033,41
6043,21
6054,136
6065,19
6075,90
6086,133
6096,17
6107,143
6118,81
6128,26
6138,144
6150,29
6160,43
6170,139
6181,22
6192,87
6202,107
6213,9
6223,112
6234,7
6245,0
6255,114
6265,0
6276,118
6287,110
6297,6
6307,130
6319,32
6329,4
6339,123
6350,0
6361,97
6371,115
6382,4
6392,131
6403,48
6414,2
6424,120
6434,5
6446,0
6456,110
6466,0
6476,126
6488,76
6498,10
6508,131
6519,18
6530,29
6540,127
6551,10
6561,64
6572,13
6583,2
6593,127
6603,22
6615,21
6625,128
6635,10
6646,129
6657,111
6667,3
6678,13
6688,22
6699,0
6710,117
6720,2
6730,19
6742,107
6752,0
6762,126
6773,47
6784,8
6794,127
6804,11
6815,35
6825,125
6836,9
6847,133
6857,105
6867,18
6879,138
6889,27
6899,0
6910,115
6921,0
6931,118
6942,110
6952,4
6963,129
6974,29
6984,19
6994,129
7006,11
7016,115
7026,126
7037,13
7048,140
7058,57
7069,23
7079,139
7090,23
7101,55
7111,134
7121,19
7133,144
7143,115
7153,25
7164,144
7175,35
7185,0
7196,117
7206,2
7217,126
7228,116
7238,0
7248,122
7260,23
7270,15
7280,126
7291,8
7302,92
7312,108
7323,0
7333,125
7344,27
7355,2
7365,121
7375,4
7386,28
7397,108
7407,1
7417,129
7429,75
7439,14
7449,133
7460,20
7471,0
7481,115
7492,0
7502,126
7513,111
7524,10
7534,133
7544,26
7556,14
7566,128
7576,11
7587,127
7598,125
7608,15
7619,140
7629,49
7640,25
7651,140
7661,21
7671,84
7683,134
7693,19
7703,145
7714,91
7725,0
7735,119
7746,10
7756,24
7767,123
7778,6
7788,131
7798,116
7810,13
7820,137
7830,30
7841,29
7852,134
7862,15
7873,133
7883,128
7894,19
7905,138
7915,50
7925,27
7937,141
7947,23
7957,73
7968,127
7979,13
7989,139
8000,85
8010,23
8020,141
8032,27
8042,39
8052,96
8064,0
8074,125
8084,112
8095,10
8105,133
8116,27
8127,25
8137,132
8147,13
8159,131
8169,127
8179,17
8190,35
8201,24
8211,8
8222,125
8232,8
8243,81
8254,123
8264,10
8274,136
8286,72
8296,20
8306,138
8317,23
8328,38
8338,134
8349,6
8359,17
8370,0
8380,0
8391,119
8401,12
8412,3
8423,118
8433,2
8443,123
8455,114
8465,8
8475,134
8486,33
8497,23
8507,65
8518,0
8528,111
8539,113
8550,3
8560,46
8570,36
8582,13
8592,131
8602,14
8613,8
8624,111
8634,0
8644,126
8655,73
8666,10
8676,130
8687,18
8697,29
8708,130
8719,11
8729,135
8739,119
8751,17
8761,140
8771,35
8782,0
8793,118
8803,1
8814,44
8824,105
8835,1
8846,126
8856,33
8866,14
8878,130
8888,0
8898,3
8909,107
8920,0
8930,126
8941,49
8951,11
8962,129
8973,15
8983,38
8993,113
9005,1
9015,129
9025,103
9036,0
9047,119
9057,12
9067,17
9078,122
9089,3
9099,127
9110,116
9120,11
9131,134
9142,36
9152,24
9162,77
9174,0
9184,95
9194,111
9205,0
9216,128
9226,42
9237,0
9247,19
9257,0
9269,59
9279,116
9289,3
9299,130
9311,76
9321,0
9331,123
9342,10
9353,25
9363,122
9374,6
9384,131
9395,115
9406,13
9416,136
9426,29
9438,12
9448,124
9458,6
9469,125
9480,121
9490,11
9501,137
9511,44
9522,22
9533,136
9543,19
9553,86
9565,130
9575,17
9585,143
9596,85
9607,25
9617,143
9628,31
9638,42
9649,140
9660,21
9670,145
9680,129
9692,26
9702,59
9712,19
9723,21
9734,129
9744,11
9755,130
9765,125
9776,2
9787,129
9797,38
9807,13
9819,131
9829,14
9839,81
9850,128
9861,13
9871,139
9882,81
9892,23
9903,140
9914,27
9924,12
9934,105
9946,0
9956,125
9966,108
9977,8
9988,131
9998,24
10009,25
10019,15
10030,0
10041,115
10051,113
10062,4
10073,130
10083,44
10094,15
10104,132
10115,17
10126,42
10136,131
10147,13
10158,139
10168,122
10179,18
10189,141
10201,36
10211,11
10221,124
10232,7
10243,18
10253,114
10264,3
10274,130
10286,58
10296,15
10306,101
10317,0
10328,15
10338,116
10349,0
10359,20
10370,100
10381,0
10391,120
10402,21
10413,12
10423,124
10434,8
10444,32
10455,108
10466,0
10476,127
10487,65
10498,13
10508,131
10519,18
10529,8
10540,118
10551,2
10561,127
10572,114
10583,10
10593,134
10604,37
10614,21
10625,135
10636,8
10646,0
