Millis,Leituras
0,335
10,326
20,309
30,316
41,306
52,298
62,307
73,293
83,296
94,299
104,285
115,295
125,287
136,280
147,290
157,277
167,279
179,284
189,272
199,282
210,276
221,267
231,278
242,267
252,266
263,275
274,261
284,270
294,268
306,257
316,269
326,258
337,256
348,266
358,253
369,260
379,261
390,250
400,261
411,253
421,249
432,259
443,247
453,252
463,256
475,243
485,255
495,248
506,242
517,253
527,241
538,244
548,250
559,238
570,249
580,243
590,235
602,247
612,236
622,237
633,245
644,233
654,242
665,240
675,231
686,242
696,232
707,231
717,241
728,229
739,236
749,237
759,227
771,238
781,230
791,226
802,237
813,225
823,231
834,235
844,223
855,234
866,228
876,222
886,234
898,222
908,226
918,232
929,220
940,231
950,226
961,219
971,230
982,220
993,221
1003,229
1013,217
1025,226
1035,225
1045,215
1056,227
1067,218
1077,216
1088,226
1098,215
1108,221
1120,224
1130,213
1141,224
1152,218
1162,212
1173,224
1183,213
1193,216
1205,223
1215,211
1225,221
1236,219
1247,209
1258,222
1268,212
1278,211
1290,221
1300,209
1310,216
1321,219
1332,208
1342,220
1353,213
1363,208
1375,220
1385,208
1395,211
1406,219
1417,206
1427,217
1438,214
1448,205
1459,217
1470,208
1480,207
1491,217
1502,205
1512,212
1523,215
1533,203
1544,215
1555,208
1565,203
1575,215
1587,204
1597,208
1608,214
1618,202
1629,213
1640,209
1650,201
1660,213
1672,204
1682,203
1692,213
1703,201
1714,209
1725,211
1735,199
1745,212
1757,204
1767,200
1777,212
1788,200
1799,205
1809,210
1820,198
1830,210
1842,205
1852,197
1862,210
1873,200
1884,201
1894,210
1905,198
1915,207
1926,207
1937,196
1947,209
1958,200
1969,198
1979,209
1990,198
2000,203
2011,208
2022,196
2032,207
2042,203
2054,195
2064,208
2074,197
2085,199
2096,208
2107,195
2117,206
2127,204
2139,194
2149,207
2159,198
2170,196
2181,207
2191,195
2202,202
2212,205
2224,193
2234,206
2244,200
2255,193
2266,206
2276,195
2287,198
2297,205
2308,193
2319,204
2329,201
2340,192
2351,205
2361,195
2372,193
2382,205
2393,193
2404,200
2414,203
2424,191
2436,204
2446,197
2457,192
2467,204
2478,193
2489,196
2499,204
2509,191
2521,202
2531,199
2541,191
2552,203
2563,193
2574,192
2584,203
2594,191
2606,199
2616,201
2626,190
2637,203
2648,195
2658,191
2669,203
2679,191
2691,195
2701,202
2711,190
2722,201
2733,197
2743,189
2754,202
2764,192
2775,192
2786,202
2796,189
2807,199
2818,199
2828,188
2839,201
2849,192
2860,189
2871,201
2881,190
2891,195
2903,200
2913,188
2924,200
2934,195
2945,188
2956,201
2966,190
2976,191
2988,201
2998,188
3008,199
3019,198
3030,187
3041,200
3051,191
3061,189
3073,201
