Millis,Leituras
0,726
10,486
20,844
30,352
41,482
52,696
62,381
73,849
83,738
94,487
104,856
115,365
125,420
136,657
147,342
157,798
167,715
179,481
189,879
199,433
210,458
221,684
231,314
242,704
252,682
263,437
274,883
284,521
294,467
306,768
316,311
326,601
337,663
348,396
358,866
369,634
379,476
390,823
400,330
411,476
421,658
432,354
443,822
453,730
463,479
475,862
485,384
495,430
506,630
517,317
527,749
538,681
548,441
559,875
570,462
580,457
590,709
602,303
612,655
622,669
633,408
644,872
654,562
665,470
675,790
686,311
697,539
707,656
717,384
729,846
739,684
749,470
759,839
771,346
781,414
791,639
802,336
813,791
823,703
834,479
844,867
855,415
866,447
876,658
886,309
898,709
908,675
918,440
929,874
940,506
950,463
961,744
971,303
982,609
993,664
1003,403
1013,859
1025,632
1035,470
1045,822
1056,336
1067,426
1077,639
1088,341
1098,782
1110,697
1120,453
1130,869
1141,446
1152,457
1162,709
1173,303
1183,634
1193,639
1205,403
1215,859
1226,613
1236,470
1247,814
1258,338
1268,426
1278,637
1290,353
1300,760
1310,699
1321,471
1332,848
1343,463
1353,453
1363,700
1375,310
1385,645
1395,691
1406,400
1417,863
1427,609
1438,465
1448,814
1460,329
1470,448
1480,668
1491,339
1502,792
1512,734
1523,470
1533,866
1544,434
1555,453
1565,697
1576,301
1587,645
1597,665
1608,404
1618,864
1629,603
1640,468
1650,811
1660,323
1672,454
1682,634
1692,343
1703,795
1714,701
1725,471
1735,863
1745,426
1757,452
1767,689
1777,303
1788,657
1799,695
1809,407
1820,863
1830,590
1842,473
1852,809
1862,317
1873,465
1884,678
1894,343
1905,802
1915,731
1926,468
1937,864
1947,418
1958,445
1969,685
1979,299
1990,665
2000,685
2011,406
2022,868
2032,575
2042,467
2054,801
2064,310
2075,478
2085,673
2096,349
2107,807
2117,736
2127,471
2139,861
2149,406
2159,443
2170,677
2181,297
2192,676
2202,687
2212,414
2224,866
2234,562
2244,466
2255,793
2266,311
2276,490
2287,658
2297,351
2309,812
2319,706
2329,472
2340,856
2351,397
2361,435
2372,665
2382,297
2393,684
2404,687
2414,414
2425,854
2436,565
2446,455
2457,773
2467,334
2478,476
2489,681
2499,369
2509,792
2521,738
2531,471
2542,839
2552,399
2563,432
2574,671
2584,302
2594,688
2606,687
2616,409
2626,865
2637,545
2648,456
2658,781
2669,306
2679,504
2691,669
2701,377
2711,771
2722,774
2733,467
2743,808
2754,464
2764,396
2775,653
2786,376
2796,631
2807,711
2818,457
2828,793
2839,599
2849,443
2860,727
2871,381
2881,458
2891,675
2903,400
2913,760
2924,772
2934,458
2945,818
2956,399
2966,410
2976,660
2988,316
2998,676
3008,698
3019,426
3030,844
3041,546
3051,452
3061,762
3073,328
3083,505
3093,684
3104,373
3115,801
3125,750
3136,462
3146,834
3158,413
3168,417
3178,666
3189,327
3200,681
3210,706
3221,429
3231,843
3241,550
3253,444
3263,765
3274,319
3284,521
3295,674
3306,372
3316,810
3326,744
3338,460
3348,836
3358,393
3369,419
3380,679
3391,315
3401,705
3411,704
3423,431
3433,856
3443,530
3454,453
3465,760
3475,314
3486,532
3496,679
3508,377
3518,820
3528,721
3539,460
3550,841
3560,383
3571,412
3581,664
3592,321
3603,699
3613,714
3624,434
3635,842
3645,534
3656,444
3666,747
3677,324
3688,527
3698,685
3708,375
3720,810
3730,717
3741,459
3751,830
3762,385
3773,406
3783,659
3793,314
3805,714
3815,700
3825,436
3836,854
3847,510
3858,448
3868,745
3878,307
3890,547
3900,673
3910,377
3921,829
3932,698
3942,456
3953,833
3963,367
3975,414
3985,661
3995,315
4006,720
4017,704
4027,445
4038,856
4048,502
4059,449
4070,741
4080,305
4091,564
4102,673
4112,372
4123,831
4133,686
4144,459
4155,828
4165,360
4175,410
4187,667
4197,317
4207,730
4218,699
4229,451
4240,856
4250,488
4260,452
4272,739
4282,302
4292,576
4303,641
4314,383
4324,836
4335,673
4345,454
4357,832
4367,355
4377,409
4388,663
4399,318
4409,742
4420,698
4430,447
4441,860
4452,482
4462,448
4473,730
4484,301
4494,581
4505,666
4515,381
4526,836
4537,664
4547,460
4557,827
4569,351
4579,398
4590,644
4600,316
4611,743
4622,702
4632,440
4642,858
4654,476
4664,449
4674,726
4685,300
4696,589
4707,672
4717,381
4727,840
4739,654
4749,453
4759,820
4770,360
4781,385
4791,662
4802,333
4812,722
4824,704
4834,456
4844,832
4855,504
4866,432
4876,683
4887,369
4897,544
4908,673
4919,436
4929,773
4940,684
4951,460
4961,756
4972,405
4982,365
4993,634
5004,386
5014,691
5024,742
5036,479
5046,784
5057,503
5067,413
5078,661
5089,361
5099,559
5109,677
5121,421
5131,774
5141,653
5152,442
5163,757
5174,379
5184,377
5194,637
5206,361
5216,705
5226,729
5237,456
5248,792
5258,473
5269,402
5279,656
5291,332
5301,576
5311,675
5322,398
5332,782
5343,622
5354,431
5364,762
5374,356
5386,388
5396,644
5407,349
5417,716
5428,722
5439,448
5449,796
5459,454
5471,396
5481,650
5491,326
5502,586
5513,685
5523,396
5534,789
5544,608
5556,427
5566,755
5576,348
5587,408
5598,649
5608,346
5619,725
5629,738
5640,445
5651,798
5661,440
5672,394
5683,650
5693,325
5704,597
5714,671
5725,404
5736,794
5746,594
5756,431
5768,751
5778,342
5789,420
5799,648
5810,356
5821,736
5831,742
5841,453
5853,799
5863,441
5873,393
5884,645
5895,327
5906,608
5916,691
5926,405
5938,797
5948,587
5958,427
5969,754
5980,343
5991,431
6001,653
6011,357
6023,743
6033,738
6043,453
6054,802
6065,436
6075,391
6086,644
6096,331
6108,616
6118,695
6128,406
6139,800
6150,581
6160,430
6171,753
6181,343
6192,445
6203,650
6213,361
6224,749
6235,726
6245,453
6256,801
6266,436
6277,393
6288,647
6298,333
6308,628
6320,688
6330,413
6341,801
6351,578
6362,423
6373,740
6383,349
6393,448
6405,672
6415,363
6425,750
6436,761
6447,453
6458,798
6468,431
6478,395
6490,652
6500,336
6510,631
6521,698
6532,419
6542,803
6553,572
6563,429
6575,736
6585,347
6595,462
6606,650
6617,371
6627,757
6638,754
6648,454
6659,796
6670,425
6680,382
6691,647
6702,336
6712,645
6723,707
6733,424
6744,803
6755,560
6765,420
6775,734
6787,341
6797,480
6808,678
6818,373
6829,766
6840,735
6850,447
6860,797
6872,416
6882,386
6892,650
6903,333
6914,652
6925,700
6935,421
6945,805
6957,543
6967,424
6977,728
6988,337
6999,494
7009,656
7020,378
7030,770
7042,715
7052,449
7062,799
7073,399
7084,381
7094,605
7105,334
7115,661
7126,658
7137,431
7147,804
7157,525
7169,423
7179,717
7190,336
7200,504
7211,628
7222,387
7232,775
7242,705
7254,453
7264,794
7274,396
7285,376
7296,590
7307,342
7317,670
7327,669
7339,441
7349,805
7359,523
7370,425
7380,709
7391,342
7402,517
7412,628
7424,391
7434,777
7444,702
7455,451
7465,793
7476,301
7487,386
7497,601
7508,287
7519,730
7529,672
7540,412
7550,871
7561,480
7572,441
7582,765
7592,288
7604,580
7614,668
7625,367
7635,858
7646,662
7657,475
7667,814
7677,409
7689,401
7699,606
7709,363
7720,696
7731,690
7742,452
7752,818
7762,522
7774,435
7784,705
7794,349
7805,545
7816,650
7826,407
7837,789
7847,680
7859,451
7869,786
7879,385
7890,368
7901,609
7911,356
7922,697
7932,684
7943,441
7954,806
7964,502
7975,421
7986,699
7996,340
8007,551
8017,638
8028,407
8039,787
8049,662
8059,443
8071,784
8081,376
8092,366
8102,607
8113,354
8124,707
8134,696
8144,445
8156,806
8166,478
8176,417
8187,678
8198,329
8209,565
8219,640
8229,400
8241,792
8251,639
8261,439
8272,776
8283,363
8293,384
8304,604
8314,350
8326,716
8336,695
8346,438
8357,807
8368,466
8378,404
8389,671
8399,327
8410,584
8421,649
8431,400
8442,794
8453,619
8463,434
8474,765
8484,354
8495,401
8506,610
8516,353
8526,729
8538,703
8548,442
8559,807
8569,451
8580,405
8591,665
8601,330
8611,598
8623,658
8633,414
8643,801
8654,601
8665,437
8676,754
8686,350
8696,426
8708,604
8718,357
8728,740
8739,707
8750,457
8760,804
8771,443
8781,403
8793,648
8803,331
8813,615
8824,662
8835,417
8845,802
8856,583
8866,435
8877,754
8888,346
8898,450
8908,641
8920,366
8930,751
8941,736
8951,449
8962,802
8973,428
8983,394
8993,636
9005,332
9015,629
9025,660
9036,424
9047,807
9058,565
9068,428
9078,738
9090,341
9100,464
9110,647
9121,373
9132,761
9142,745
9153,451
9163,796
9175,412
9185,386
9195,623
9206,330
9217,643
9227,674
9238,424
9248,805
9259,549
9270,424
9280,739
9291,338
9302,484
9312,626
9323,383
9333,769
9344,726
9355,452
9365,797
9376,405
9387,381
9397,623
9408,331
9418,656
9428,678
9440,415
9450,806
9460,530
9472,420
9482,724
9493,333
9503,495
9513,643
9525,380
9535,771
9545,710
9556,445
9567,797
9577,394
9588,377
9598,599
9610,332
9620,665
9630,675
9641,427
9652,804
9662,522
9673,422
9683,716
9694,331
9705,514
9715,648
9726,385
9737,778
9747,690
9758,444
9768,794
9779,386
9790,378
9800,612
9810,338
9822,678
9832,672
9843,431
9853,805
9864,507
9875,422
9885,706
9895,329
9907,534
9917,642
9927,384
9938,783
9949,673
9960,443
9970,792
9980,376
9992,373
10002,615
10012,341
10023,672
10034,671
10045,429
10055,808
10065,545
10077,426
10087,743
10098,341
10108,437
10120,610
10130,350
10140,726
10151,702
10162,443
10173,807
10183,486
10193,417
10205,701
10215,328
10226,516
10236,635
10248,380
10258,768
10268,731
10279,447
10290,799
10301,434
10311,402
10321,648
10333,327
10343,584
10354,644
10364,404
10376,790
10386,659
10396,444
10407,797
10418,384
10429,376
10439,612
10449,332
10461,649
10471,668
10482,417
10492,805
10504,586
10514,431
10524,758
10535,353
10546,396
10557,620
10567,346
10577,702
10589,695
10599,428
10610,808
10620,517
10631,418
10642,724
10652,336
10663,473
10674,636
10685,364
10695,746
10705,715
10717,456
10727,810
10738,460
10748,411
10759,675
10770,329
10780,551
10791,647
10802,387
10813,780
10823,698
10833,447
10845,798
10855,410
10866,386
10876,622
10887,331
10898,623
10908,660
10919,414
10930,800
10941,624
10951,434
10961,776
10973,365
10983,363
10994,618
11004,342
11015,681
11026,675
11036,431
11047,806
11058,540
11068,429
11079,743
11089,340
11101,447
11111,616
11122,357
11132,735
11143,698
11154,449
11164,811
11175,479
11186,421
11196,698
11207,329
11217,532
11229,629
11239,387
11250,773
11260,721
11271,447
11282,797
11292,424
11303,397
11314,646
11324,333
11335,601
11345,645
11357,403
11367,794
11377,639
11388,441
11399,780
11410,381
11420,370
11431,610
11442,339
11452,667
11463,664
11473,419
11485,805
11495,559
11505,429
11516,757
11527,349
11538,420
11548,610
11559,352
11570,718
11580,712
11591,434
11601,808
11613,496
11623,417
11633,706
11644,332
11655,506
11666,637
11676,380
11686,762
11698,741
11708,451
11719,802
11729,437
11741,403
11751,658
11761,329
11772,584
11783,645
11794,401
11804,792
11814,657
11826,439
11836,792
11847,386
11857,377
11869,618
11879,332
11889,654
11900,671
11911,419
11922,802
11932,574
11942,432
11954,760
11964,349
11975,400
11985,613
11996,349
12007,707
12017,680
12028,430
12039,806
12050,507
12060,419
12070,719
12082,329
12092,489
12103,642
12113,373
12124,757
12135,725
12145,454
12156,804
12167,445
12178,406
12188,658
12198,324
12210,565
12220,652
12231,392
12241,785
12252,673
12263,447
12273,799
12284,394
12295,378
12305,614
12316,329
12326,638
12338,671
12348,417
12359,802
12369,592
12380,428
12391,764
12401,353
12412,382
12423,616
12433,338
12444,692
12454,694
12466,428
12476,804
12486,512
12497,420
12508,725
12519,336
12529,471
12540,628
12551,370
12561,746
12572,723
12582,454
12594,807
12604,459
12614,411
12625,673
12636,327
12647,552
12657,654
12668,393
12679,780
12689,688
12700,449
12710,796
12722,401
12732,385
12742,629
12753,330
12764,627
12775,648
12785,408
12795,800
12807,604
12817,436
12828,770
12838,362
12850,371
12860,620
12870,341
12881,684
12892,686
12903,423
12913,803
12923,534
12935,422
12945,743
12956,339
12966,451
12978,631
12988,362
12998,732
13009,697
13020,455
13031,805
13041,478
13051,412
13063,704
13073,326
13084,526
13094,647
13106,385
13116,770
13126,717
13137,445
13148,797
13159,420
13169,390
13179,640
13191,327
13201,606
13212,657
13222,402
13234,792
13244,630
13254,439
13265,779
13276,369
13287,377
13297,598
13307,335
13319,665
13329,676
13340,426
13350,803
13361,552
13372,424
13382,742
13393,341
13404,427
13415,631
13425,349
13435,721
13447,702
13457,441
13468,806
13478,488
13489,414
13500,703
13510,329
13521,506
13532,618
13543,377
13553,761
13563,737
13575,458
13585,802
13596,437
13606,399
13617,659
13628,325
13638,578
13649,657
13660,401
13671,785
13681,662
13691,446
13703,792
13713,386
13724,376
13734,611
13745,332
13756,646
13766,649
13777,423
13788,801
13799,582
13809,435
13819,767
13831,352
13841,397
13852,628
13862,346
13873,701
13884,701
13894,435
13905,805
13916,506
13927,418
13937,722
13947,332
13959,479
13969,638
13980,374
13990,754
14001,715
