Millis,Leituras
0,954
10,0
20,71
30,758
41,0
52,343
62,0
72,462
83,261
94,0
104,0
114,627
125,0
136,60
146,107
156,0
167,1023
178,0
188,641
199,766
209,9
220,0
230,216
241,43
251,1023
262,0
273,0
283,851
293,0
304,0
315,198
325,0
335,1023
346,0
357,18
367,864
377,0
388,0
399,201
409,0
419,1023
431,0
441,658
451,879
462,0
473,0
483,240
493,425
504,1017
515,8
525,0
535,875
546,0
557,0
567,84
578,408
588,170
599,0
609,76
620,667
630,3
641,825
652,359
662,0
672,0
683,0
694,652
704,940
714,0
724,0
736,183
746,347
756,1023
768,43
778,0
788,0
798,53
809,0
820,241
830,0
840,498
851,0
862,11
872,856
883,0
893,3
904,229
914,0
925,439
935,16
946,0
956,921
967,0
977,0
988,238
998,0
1009,153
1019,0
1030,0
1041,32
1051,0
1061,0
1072,380
1083,0
1093,265
1103,97
1115,22
1125,113
1135,0
1146,0
1157,455
1167,0
1178,246
1188,8
1199,0
1210,15
1220,0
1230,0
1241,810
1252,0
1262,61
1272,16
1284,453
1294,156
1304,0
1315,668
1326,569
1336,37
1347,0
1357,0
1368,0
1378,347
1389,0
1399,23
1410,726
1421,0
1431,0
1441,327
1453,0
1463,400
1473,24
1484,0
1495,1002
1505,0
1516,0
1526,515
1537,0
1547,0
1558,0
1568,0
1579,1023
1590,0
1600,0
1610,508
1622,0
1632,1023
1642,14
1653,6
1664,868
1674,56
1685,0
1695,690
1705,0
1716,264
1727,36
1737,394
1747,341
1759,0
1769,29
1779,831
1790,6
1801,0
1811,156
1822,0
1832,203
1843,0
1854,60
1864,768
1874,0
1886,0
1896,80
1906,0
1916,1017
1928,41
1938,0
1948,242
1959,0
1970,0
1980,448
1991,0
2001,1018
2012,0
2023,0
2033,339
2043,23
2055,0
2065,612
2075,0
2085,0
2097,61
2107,0
2117,14
2128,0
2139,0
2149,738
2160,0
2170,0
2181,103
2191,41
2202,1023
2212,16
2223,25
2234,850
2244,50
2254,886
2266,407
2276,0
2286,304
2297,0
2308,50
2318,704
2329,0
2339,0
2350,491
2361,0
2371,314
2381,0
2393,0
2403,885
2413,57
2424,0
2435,498
2445,0
2455,200
2466,93
2477,1
2487,1023
2498,0
2508,704
2519,694
2530,0
2540,17
2550,123
2562,0
2572,1023
2582,0
2593,658
2604,912
2614,0
2625,892
2635,60
2646,0
2657,1023
2667,0
2677,56
2689,748
2699,0
2709,8
2720,1
2731,0
2741,384
2751,0
2762,0
2772,118
2783,0
2794,2
2804,369
2814,0
2825,399
2836,53
2846,0
2856,74
2868,0
2878,6
2888,543
2899,0
2910,1023
2920,0
2931,0
2941,80
2952,0
2962,33
2973,418
2983,0
2994,1018
3005,0
3015,0
3025,435
3037,0
3047,0
3057,748
3068,88
3079,0
3089,162
3100,0
3110,31
3121,0
3131,0
3142,654
3152,48
3163,848
3174,51
3184,0
3194,267
3206,0
3216,0
3226,713
3237,0
3248,0
3258,387
3268,0
3279,70
3290,0
3300,621
3311,160
3321,0
3332,0
3343,464
3353,0
3363,59
3375,71
3385,580
3395,7
3405,0
3417,0
